problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_heat_then_place_in_recep-PotatoSliced-None-CounterTop-8/trial_T20190910_080205_480727,slice a potato and heat up a slice.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation countertop)
(PutObject knife countertop)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation countertop)
(PutObject potato countertop)","(GotoLocation countertop)
(PickupObject potato)
(GotoLocation cuttingboard)
(SliceObject potato)
(GotoLocation stovetop)
(HeatObject potato)
(GotoLocation burnertop)
(GotoLocation sideboard)
(HeatObject potato slice)"
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091658_623792,to put a cooled plus sliced tomato on the table to the right of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation knife)
(PickupObject knife)
(GotoLocation sidetable)
(PutObject knife sidetable)
(GotoLocation fridge)
(PickupObject tomato)
(GotoLocation sidetable)
(PutObject tomato sidetable)
(PickupObject knife)
(SliceObject tomato)","(DropObject fridge)
(MoveOver peg5 peg4)
(DropObject table)
(MoveOver peg4 peg3)
(DropObject countertable)
(MoveOver peg3 peg2)
(DropObject table)"
train/pick_cool_then_place_in_recep-TomatoSliced-None-CounterTop-14/trial_T20190911_165306_552824,"put away knife , slice , chill tomato , put tomato on counter.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation sinkbasin)
(PickupObject knife)
(GotoLocation tomato)
(SliceObject tomato)
(PutObject knife microwave)
(PickupObject tomato)
(GotoLocation fridge)
(CoolObject tomato)
(GotoLocation countertop)
(PutObject tomato countertop)","(PutObject knife knifeholder)
(GotoLocation sinkbasin)
(PickupObject tomato)
(PutObject tomato counter)
(CleanObject tomato)
(PeelObject tomato)
(PickupObject tomato)
(SliceObject tomato)"
train/pick_heat_then_place_in_recep-Cup-None-Shelf-1/trial_T20190906_230209_175441,put a heated glass on the wooden rack.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject cup)
(GotoLocation microwave)
(HeatObject cup)
(GotoLocation shelf)
(PutObject cup shelf)","(GotoLocation singlecoil)
(PickupObject glass)
(GotoLocation coils)
(HeatObject glass)
(GotoLocation rack)
(PutObject glass rack)"
train/pick_heat_then_place_in_recep-AppleSliced-None-CounterTop-5/trial_T20190907_232136_007074,to heat a piece of apple and place it on the counter by the toaster.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation countertop)
(PutObject butterknife countertop)
(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation countertop)
(PutObject apple countertop)","(GotoLocation microwave)
(PickupObject apple)
(GotoLocation sinkbasin)
(CleanObject apple)
(GotoLocation dishwasher)
(PutObject apple dishwasher)
(GotoLocation sinkbasin)
(CleanObject apple)
(GotoLocation ven)
(PickupObject apple)
(GotoLocation countertop)
(PutObject apple countertop)
(GotoLocation sinkbasin)
(CleanObject apple)
(GotoLocation countertop)
(PutObject apple countertop)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation countertop)
(PutObject apple countertop)"
train/pick_cool_then_place_in_recep-BreadSliced-None-GarbageCan-19/trial_T20190908_174425_766449,cool a bread slice plus place it in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(SliceObject bread)
(GotoLocation fridge)
(PutObject butterknife fridge)
(GotoLocation countertop)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation garbagecan)
(PutObject bread garbagecan)","(GotoLocation cupboardforthrowaway)
(PickupObject pieceofbread)
(GotoLocation table)
(CoolObject pieceofbread)
(GotoLocation garbagecupboard)
(PutObject pieceofbread garbagecupboard)"
train/pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_012427_332210,to chill a loaf of bread and put it on the counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation countertop)
(PutObject bread countertop)","(GotoLocation freezer)
(PickupObject loafbread)
(PutObject loafbread fridge)
(GotoLocation fridge)
(PickupObject loafbread)
(GotoLocation countertop)
(PutObject loafbread countertop)"
train/pick_cool_then_place_in_recep-BreadSliced-None-SideTable-21/trial_T20190907_101038_416790,place a cold slice of bread on a brown table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation fridge)
(PutObject butterknife fridge)
(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation sidetable)
(PutObject bread sidetable)",(PutObject coolsliceofbread browntable)
train/pick_heat_then_place_in_recep-Egg-None-DiningTable-18/trial_T20190908_051307_917970,place a cooked egg onto the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation diningtable)
(PutObject egg diningtable)","(adddishes egg)
(cookstuff egg)
(getdishesfromcabinet )
(cleandishes egg)"
train/pick_heat_then_place_in_recep-Tomato-None-Fridge-12/trial_T20190906_190441_327141,put the cooked tomato in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation fridge)
(PutObject tomato fridge)","(GotoLocation stove)
(PickupObject mushup_tomato)
(GotoLocation fridge)
(PutObject mushup_tomato fridge)"
train/pick_cool_then_place_in_recep-AppleSliced-None-GarbageCan-25/trial_T20190908_193803_869487,to put an apple slice in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(PutObject butterknife microwave)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation garbagecan)
(PutObject apple garbagecan)","(GotoLocation apple)
(pickup apple apple0)
(GotoLocation kitchencounter)
(put apple apple0)
(GotoLocation knifecuttingboard)
(pickup kitchenknife kitchenknife0)
(GotoLocation apple)
(slice apple0 kitchenknife0)
(GotoLocation garbagecan)
(put apple apple0)"
train/look_at_obj_in_light-CD-None-DeskLamp-328/trial_T20190908_004539_969224,take the cd out of the trash and turn the lamp on.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation garbagecan)
(PickupObject cd)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation trash)
(PickupObject cd)
(GotoLocation lamp)
(TurnOnObject lamp)"
train/pick_cool_then_place_in_recep-Bread-None-CounterTop-16/trial_T20190907_221816_384897,"cool the bread with refrigerator , put the bread on the counter.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation countertop)
(PutObject bread countertop)","(GotoLocation countertop)
(PickupObject bread)
(GotoLocation refrigerator1)
(PutObject bread refrigerator1)
(Wait)
(PickupObject bread)
(GotoLocation countertop)
(PutObject bread countertop)"
train/pick_cool_then_place_in_recep-BreadSliced-None-DiningTable-27/trial_T20190908_080050_227088,preparing bread and taking it to the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation diningtable)
(PutObject butterknife diningtable)
(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation diningtable)
(PutObject bread diningtable)","(GotoLocation cabinet)
(PickupObject bread)
(GotoLocation sinkbasin)
(CleanObject bread)
(GotoLocation diningtable)
(PutObject bread diningtable)"
train/look_at_obj_in_light-Pillow-None-DeskLamp-319/trial_T20190907_224200_196003,"get a pillow from the bed , take it to the nightstand and turn on the lamp.","(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PillowType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation bed)
(PickupObject pillow)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GoL bed)
(PickUp pillow)
(GoL nightstand)
(UnStack pillow)
(TurnOn lamp)"
train/pick_cool_then_place_in_recep-Potato-None-Microwave-13/trial_T20190907_200955_697787,put the chilled potato in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation microwave)
(PutObject potato microwave)","(PickupObject potato)
(PutObject potato refrigerator)
(GotoLocation refrigerator)
(PutObject potato freezer)
(GotoLocation freezer)
(HeatObject potato)
(PutObject potato microwave)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-GarbageCan-18/trial_T20190909_070614_702720,put a chilled slice of potato in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation diningtable)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation garbagecan)
(PutObject potato garbagecan)","(PickupObject potato)
(GotoLocation freezer)
(ChillObject potato)
(GotoLocation trashbin)
(TrashObject potato)
(GotoLocation sinkbasin)
(CleanObject potato)"
train/pick_heat_then_place_in_recep-Apple-None-GarbageCan-12/trial_T20190908_172429_549227,"cook the apple with microwave , put the cooked apple in the trash bin.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation garbagecan)
(PutObject apple garbagecan)","(PutObject apple microwave)
(SetCooktime microwave apple)
(Start microwave)
(Wait doNothing 10)
(ModifyObject apple warm)
(PickupObject apple)
(PutObject apple trashbin)"
train/pick_and_place_simple-PotatoSliced-None-SinkBasin-25/trial_T20190907_062036_745419,slice a vegetable from the fridge in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation microwave)
(PickupObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)
(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)","(Go into sink)
(PickupObject vegetable)
(Go into fridge)
(SliceObject vegetable)"
train/pick_heat_then_place_in_recep-Tomato-None-SideTable-3/trial_T20190907_140946_092791,put a heated tomato on the table next to the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation sidetable)
(PutObject tomato sidetable)","(GotoLocation microwave)
(PickupObject tomato)
(GotoLocation diningtable)
(PutObject tomato diningtable)
(PutObject tomato diningtable)"
train/pick_heat_then_place_in_recep-BreadSliced-None-SideTable-28/trial_T20190907_180304_503402,"slice a loaf of bread with a knife , cook it in a microwave put it the small brown table.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation sidetable)
(PickupObject knife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation diningtable)
(PutObject knife diningtable)
(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation microwave)
(HeatObject bread)
(GotoLocation sidetable)
(PutObject bread sidetable)","(GotoLocation largebrowntable)
(PickupObject bread)
(GotoLocation countertop)
(CutObject bread)
(GotoLocation microwave)
(CookFood bread)
(GotoLocation counter)
(PutObject bread counter)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-CounterTop-22/trial_T20190909_040822_239216,to cool a potato slice and place it on the counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation fridge)
(PutObject butterknife fridge)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation countertop)
(PutObject potato countertop)","(PreparePlace potato)
(PrepareAt counter)
(GetObject potatoHotSink)
(Approach fridge)
(GetObject ice)
(Approach sink)
(WashObject potato)
(PutObject fridge ice)
(Approach sinkHotSink)"
train/look_at_obj_in_light-Newspaper-None-FloorLamp-212/trial_T20190908_112042_584512,carry a newspaper while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o NewspaperType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation armchair)
(PickupObject newspaper)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation bed)
(PickupObject lamp)
(GotoLocation nightstand)
(SwitchonObject lamp)
(GotoLocation cabinet)
(PickupObject newspaper)
(GotoLocation bed)
(PutObject newspaper chair)"
train/pick_cool_then_place_in_recep-Pot-None-DiningTable-24/trial_T20190908_111415_336140,put a chilled pot on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation stoveburner)
(PickupObject pot)
(GotoLocation fridge)
(CoolObject pot)
(GotoLocation diningtable)
(PutObject pot diningtable)","(GotoLocation stove)
(PickupObject pot)
(GotoLocation fridge)
(PutObject pot fridge)
(GotoLocation table)
(TakeOut pot)"
train/pick_cool_then_place_in_recep-AppleSliced-None-Microwave-25/trial_T20190908_055159_132487,preparing an apple and putting it in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation microwave)
(PutObject knife microwave)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation microwave)
(PutObject apple microwave)","(GotoLocation cuttingboard)
(PickupObject apple)
(GotoLocation countertop)
(PutObject apple countertop)
(CutObject apple cuttingboard)
(PickupObject apple)
(GotoLocation microwave)
(PutObject apple microwave)"
train/pick_cool_then_place_in_recep-Egg-None-SinkBasin-25/trial_T20190909_105100_154263,put an egg in the fridge then the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject egg)
(GotoLocation fridge)
(CoolObject egg)
(GotoLocation sinkbasin)
(PutObject egg sinkbasin)","(GotoLocation countertop)
(PickupObject egg)
(GotoLocation fridge)
(PutObject egg fridge)
(GotoLocation countertop)
(PutObject egg countertop)
(GotoLocation sinkbasin)
(PickupObject egg)
(PutObject egg sinkbasin)"
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171220_804585,use a butter knife to slice up an apple that is in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation microwave)
(PickupObject apple)
(GotoLocation counter)
(PutObject apple counter)
(PickupObject knife)
(PutObject apple counter)
(GotoLocation sink)
(PutObject knife sink)
(GotoLocation drawer)
(PickupObject knife)
(GotoLocation counter)
(PutObject knife counter)
(PickupObject knife)
(PutObject knife sink)
(GotoLocation counter)
(PickupObject knife)
(PutObject knife sink)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-GarbageCan-23/trial_T20190909_034745_393039,throw away a slice of heated tomato in the trash bin.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation tomato)
(SliceObject tomato)
(GotoLocation countertop)
(PutObject butterknife countertop)
(GotoLocation sinkbasin)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation garbagecan)
(PutObject tomato garbagecan)","(returnBox pizza1 coffeetable table00)
(returnBox paperbin table04 trashbin1)
(returnBox heatedtomato table00 trashbin1)
(dispose heatedtomato trashbin1)
(returnBox trashbin1 table03 trashbin1)"
train/pick_and_place_simple-BreadSliced-None-SideTable-3/trial_T20190906_235928_630179,place a slice of bread in front of the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation cabinet)
(PutObject knife cabinet)
(GotoLocation countertop)
(PickupObject bread)
(GotoLocation sidetable)
(PutObject bread sidetable)","(GotoLocation countertop)
(PickupObject bread)
(GotoLocation microwave)
(PutObject bread microwave)"
train/look_at_obj_in_light-WateringCan-None-DeskLamp-224/trial_T20190907_122624_148095,"grab the white pot on the floor , turn on the lamp on the end table.","(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o WateringCanType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation wateringcan)
(PickupObject wateringcan)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation countertop)
(PickupObject potbrush)
(GotoLocation vinylfloor)
(PickupObject pot)
(GotoLocation woodenchair)
(PutObject pot woodenchair)
(GotoLocation wallplugs)
(SwitchObjectLamp on lamp)
(GotoLocation countertop)
(PutObject potbrush countertop)"
train/look_at_obj_in_light-CD-None-DeskLamp-305/trial_T20190909_132447_100635,examine cd with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation dresser)
(PickupObject cd)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation cd)
(InstallObject cd lamp micro)"
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171329_509999,slice a cooked apple.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation countertop)
(knife diningtable)
(cut apple)"
